RecievedDate,LossDescription,LossLocation,LloydsClaimReference
2018-12-23 01:37:12.190,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-10-28 01:10:11.313,GAS TURBINE DAMAGE,TBA,06302246J
2017-12-22 01:18:46.930,GAS TURBINE DAMAGE,TBA,06338884Q
2017-12-17 01:13:08.890,BLOCK,NULL,06616420F
2018-01-28 01:21:14.417,WELL LEAKAGE,BOURI FIELD,07085708R
2018-09-26 01:24:59.167,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-06-26 01:18:47.843,MAIN ENGINE DAMAGE,TBA,06338880E
2018-01-24 01:14:10.760,CIDADE DE SAO MATEUS - GAS LEAK.,"CAMARUPIN FIELD, OFFSHORE BRAZIL",06129682G
2018-09-26 01:25:38.963,BLOCK ENTRY,NULL,06595246M
2020-03-10 01:07:37.417,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-01-15 01:07:36.557,GAS TURBINE DAMAGE,TBA,06338884Q
2018-06-03 01:14:03.760,BLOCK,NULL,06616420F
2018-08-21 01:16:27.963,TBA,TBA,06230340T
2018-11-14 01:11:18.557,BLOCK,NULL,06090952Q
2018-02-22 01:19:03.033,CLMNT:HERMAN VERDIN-P AND I EX CREWFEES,USA GOM,06786392C
2017-10-28 01:12:19.387,BLOCKED LEG PILEH,TBA,06873088C
2020-03-24 01:08:31.630,BLOCK,NULL,06090952Q
2017-11-23 10:27:27.787,BLOCK ENTRY,NULL,06891546R
2018-05-06 01:12:09.280,BLOCK,NULL,06090946J
2018-09-15 01:16:23.150,GLC MOTOR FAILURE,TBA,06411632P
2018-06-26 01:18:25.687,TBA,TBA,06230340T
2020-03-27 01:08:52.373,DAMAGE TO GENERATOR NO 3 TANKER NEGRA MATEA,"COAST OF THE CARDON REFINERY, CARDON, PUNTO FIJO.",06149748H
2019-01-30 01:32:11.267,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-07-12 07:34:13.333,LOSS OF CONTAINMENT RESULTING IN A LEAK FROM THEVA,"CATS RISER PLATFORM, OFFSHORE UK",06019366P
2019-08-08 01:23:29.020,NECK & SHOULDER INJURY CLMT: BENJAMIN PRIDDY,TEXAS,07915498P
2018-06-26 01:21:16.530,BLOCK ENTRY,NULL,06891548M
2018-09-26 01:24:57.947,GAS TURBINE DAMAGE,TBA,06302246J
2018-03-04 01:29:52.653,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2018-08-26 01:17:22.863,DAMAGE TO MOORING SYSTEM,"60KM SOUTHWEST OF ABIDJAN, IVORY COAST.",06283814B
2018-09-26 01:24:33.980,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2017-09-27 06:42:05.660,GAS TURBINE DAMAGE,TBA,06302246J
2017-09-22 19:22:52.207,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2019-09-17 01:19:17.613,BLOCKED LEG PILEH,TBA,06873088C
2018-12-21 01:20:46.627,BLOCK ENTRY,NULL,06944548A
2018-08-12 01:14:41.670,LEAKAGE AT 18INCH PIPELINE BETWEEN MCR-A AND WDDPA,OFFSHORE TURKMENISTAN,05892148P
2017-09-22 19:23:02.707,MAIN ENGINE DAMAGE,TBA,06338880E
2018-10-21 01:31:15.437,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2019-06-13 01:10:49.647,TBA,TBA,06230340T
2020-04-21 01:16:04.180,MOORING LINES SEVERED DURING WILD WEATHER CAUSEDBY,"OFFSHORE DAMPIER, AUSTRALIA ( INDIAN OCEAN )",08143560F
2018-12-28 01:12:44.307,BLOCK ENTRY,NULL,07106734T
2019-05-02 01:27:42.107,"PRODUCTS LIABILITY LAWSUIT FILED, CLAIMING DAMAGET",TEXAS,07335998F
2018-03-27 04:23:26.113,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-01-28 01:19:50.970,BLOCKED LEG PILEH,TBA,06873088C
2019-09-17 01:17:38.643,BLOCK,NULL,06090946J
2017-09-24 20:19:36.747,BLOCK ENTRY,NULL,06944548A
2020-02-14 01:28:54.700,MOORING LINES SEVERED DURING WILD WEATHER CAUSEDBY,"OFFSHORE DAMPIER, AUSTRALIA ( INDIAN OCEAN )",08143560F
2019-12-25 01:10:06.753,LEG PUNCH THROUGH,NULL,06241830E
2019-04-21 01:31:29.557,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,06838442M
2019-06-13 01:10:38.910,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2018-12-26 01:35:23.767,BLOCK ENTRY,NULL,06595246M
2018-01-03 01:11:58.017,LEG PUNCH THROUGH,NULL,06241830E
2019-11-26 01:07:00.377,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2019-06-13 01:10:56.927,DAMAGE TO LVSR - PD,TBA,06302248E
2018-01-03 01:11:50.190,GLC MOTOR FAILURE,CAPIXABA,06131192G
2018-09-14 01:12:39.777,GAS TURBINE DAMAGE,TBA,06338884Q
2017-09-22 19:22:58.643,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-03-24 01:09:18.067,LEG PUNCH THROUGH,TBA,06595248G
2018-12-23 01:37:09.547,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2018-12-23 01:36:46.207,KEF1-EKF1 PIPELINE DAMAGE,"RIO DEL REY, OFFSHORE CAMEROON",05992248A
2018-01-03 01:11:46.423,BLOCK,NULL,06090946J
2018-09-14 01:12:35.777,DAMAGE TO LVSR - PD,TBA,06302248E
2017-09-27 06:42:05.817,DAMAGE TO LVSR - PD,TBA,06302248E
2019-11-13 01:11:02.337,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2018-10-28 01:10:16.343,MAIN ENGINE DAMAGE,TBA,06338880E
2018-11-26 06:49:21.157,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05843612E
2019-12-25 01:09:53.580,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2018-10-28 01:10:13.110,DAMAGE TO LVSR - PD,TBA,06302248E
2019-04-26 01:34:21.300,BLOCK ENTRY,NULL,06944548A
2017-09-22 19:22:52.360,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2017-11-07 13:01:29.533,TBA,TBA,06230340T
2018-06-03 01:12:48.337,CARGO ROLLED OFF BARGE AND INTO THE SEA,"PERU, PIURA, CORVINA, PLATFORM CX-15",06220870K
2019-11-26 01:08:37.580,BLOCKED LEG PILEH,TBA,06873088C
2019-06-26 01:34:12.707,GAS TURBINE DAMAGE,TBA,06338884Q
2017-11-07 13:01:31.580,GAS TURBINE DAMAGE,TBA,06302246J
2019-09-17 01:17:41.660,LEG PUNCH THROUGH,NULL,06241830E
2018-04-11 05:40:31.243,"CLMNT:JEFFREY MAULDIN, ALLEGED HEAD INJURY",GULF OF MEXICO,06026196C
2018-03-27 04:25:15.317,BLOCK ENTRY,NULL,06944548A
2019-06-26 01:34:03.097,DAMAGE TO LVSR - PD,TBA,06302248E
2018-10-28 01:10:07.780,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2018-09-28 01:15:01.447,GAS TURBINE DAMAGE,TBA,06302246J
2019-03-26 02:08:26.443,BLOCK,NULL,06090946J
2018-11-13 01:11:44.087,BLOCK,NULL,06616420F
2018-12-06 01:20:12.437,VARIOUS LOSSES.,VARIOUS,06141664B
2019-01-22 01:22:43.617,BLOCK,NULL,06071748B
2019-12-25 01:09:59.127,BLOCK,NULL,06090946J
2018-01-05 01:24:03.797,CIDADE DE SAO MATEUS - GAS LEAK.,"CAMARUPIN FIELD, OFFSHORE BRAZIL",06050508F
2018-08-31 01:19:51.323,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2019-12-25 01:10:13.893,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-08-21 01:16:17.963,BLOCK,NULL,06071748B
2017-09-27 06:42:09.083,GAS TURBINE DAMAGE,TBA,06338884Q
2020-07-12 01:10:55.147,KEF1-EKF1 PIPELINE DAMAGE,"RIO DEL REY, OFFSHORE CAMEROON",05925738N
2019-03-10 01:25:21.383,"TOP DRIVE EQUIPMENT INCIDENT, MEXICO",MEXICO,06477618J
2018-05-20 01:18:24.257,WELL LEAKAGE,BOURI FIELD,07085848T
2018-08-31 01:19:52.947,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2020-07-21 01:39:28.390,MOORING LINES SEVERED DURING WILD WEATHER CAUSEDBY,"OFFSHORE DAMPIER, AUSTRALIA ( INDIAN OCEAN )",08143560F
2020-01-15 01:07:31.460,GAS TURBINE DAMAGE,TBA,06302246J
2018-07-24 01:16:23.447,BLOCK,NULL,06616420F
2019-09-26 01:27:37.740,BLOCK ENTRY,NULL,06944548A
2017-12-03 01:17:00.410,LOSS OF CONTAINMENT RESULTING IN A LEAK FROM THEVA,"CATS RISER PLATFORM, OFFSHORE UK",06019366P
2019-01-13 01:16:53.930,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2019-01-13 01:16:54.943,MAIN ENGINE DAMAGE,TBA,06338880E
2019-09-26 01:25:42.787,DAMAGE TO LVSR - PD,TBA,06302248E
2018-07-01 01:25:46.107,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2017-12-14 01:18:44.220,"CLMNT:JEFFREY MAULDIN, ALLEGED HEAD INJURY",GULF OF MEXICO,06026196C
2019-09-03 01:17:50.803,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-10-21 01:31:15.033,DAMAGE TO LVSR - PD,TBA,06302248E
2019-06-26 01:35:23.817,LEG PUNCH THROUGH,TBA,06595248G
2019-09-03 01:17:34.803,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2020-02-27 01:11:27.997,LEG PUNCH THROUGH,TBA,06595248G
2018-07-25 01:17:16.173,HIGH VOLTAGE TRANSFORMER DAMAGE,NORWAY,06969658J
2018-09-28 01:14:58.557,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2019-06-08 01:19:32.183,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05852152N
2019-01-01 01:19:20.820,THOMAS SEDLMAYR,USA,06918320P
2018-09-14 01:12:38.963,MAIN ENGINE DAMAGE,TBA,06338880E
2017-12-28 01:20:09.220,BLOCKED LEG PILEH,TBA,06873088C
2020-06-23 01:18:22.353,LEG PUNCH THROUGH,TBA,06595248G
2019-04-30 01:25:24.187,LEG PUNCH THROUGH,TBA,06595248G
2018-06-25 01:28:20.093,BLOCK ENTRY,NULL,06891548M
2018-09-13 01:14:39.553,BLOCK ENTRY,VARIOUS,07473684H
2018-08-31 01:20:09.120,GAS TURBINE DAMAGE,TBA,06302246J
2018-03-27 04:23:35.317,DAMAGE TO LVSR - PD,TBA,06302248E
2017-12-28 01:18:32.970,BLOCK,NULL,06090946J
2017-12-22 01:18:43.167,DAMAGE TO LVSR - PD,TBA,06302248E
2018-03-27 04:23:12.160,BLOCK,NULL,06071748B
2018-08-21 01:16:32.977,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2019-11-26 01:07:07.017,MAIN ENGINE DAMAGE,TBA,06338880E
2020-01-09 08:27:58.230,BLOCK ENTRY,NULL,06891548M
2019-01-06 01:19:48.590,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2018-01-26 01:16:54.740,WILLIAM APPLEGATE ALLEGEDLY WAS SHOT DURING SPONSO,US,06407316T
2020-02-06 01:21:52.017,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05843612E
2019-12-25 01:10:56.567,LEG PUNCH THROUGH,TBA,06595248G
2018-06-03 01:18:01.310,DAMAGE TO 6 PIPELINE WHICH POSSIBLY OCCURED POSTTR,FILANOVSKY FIELD,07450194W
2018-12-12 01:10:58.763,BLOCK ENTRY,NULL,06595246M
2020-02-19 01:19:25.827,LEAKAGE AT 18INCH PIPELINE BETWEEN MCR-A AND WDDPA,OFFSHORE TURKMENISTAN,05892138T
2018-07-24 01:16:18.213,BLOCK ENTRY,NULL,06595246M
2018-11-01 01:23:09.690,GAS TURBINE DAMAGE,TBA,06338884Q
2020-05-13 01:21:55.077,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2020-04-09 01:04:27.510,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05852152N
2019-11-26 01:06:52.330,BLOCK,NULL,06071748B
2018-08-02 01:22:44.777,CLMNT:ADRAIN NEITO FATALLY INJURED IN GAS PLANTAFT,NEW MEXICO,06153926V
2019-03-26 02:09:28.537,BLOCK ENTRY,NULL,06595246M
2018-06-26 01:18:26.640,LEG PUNCH THROUGH,NULL,06241830E
2019-09-17 01:18:16.817,BLOCK ENTRY,NULL,06595246M
2020-01-15 01:07:29.710,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-03-10 01:07:46.150,MAIN ENGINE DAMAGE,TBA,06338880E
2020-02-27 01:11:27.747,BLOCK ENTRY,NULL,06595246M
2019-09-26 01:26:23.410,BLOCK ENTRY,NULL,06595246M
2018-04-22 01:14:46.797,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05852152N
2018-09-28 01:15:06.617,MAIN ENGINE DAMAGE,TBA,06338880E
2018-12-12 01:10:07.373,LEAKAGE AT 18INCH PIPELINE BETWEEN MCR-A AND WDDPA,OFFSHORE TURKMENISTAN,05892138T
2018-07-25 01:16:14.673,DISCOVERY OF CRACKS IN PLATFORM HELIDECK SUPPORTST,GUDRUN FIELD NORWEGIAN SECTOR NORTH SEA,06291524T
2019-01-17 01:22:07.173,ANCHOR CHAIN BREAK/CRACKED,CHINA,06282234J
2019-05-03 01:27:12.487,NECK & SHOULDER INJURY,TEXAS,07915498P
2018-06-25 01:30:19.720,BLOCK ENTRY,NULL,07195270V
2020-03-24 01:09:17.613,BLOCK ENTRY,NULL,06595246M
2017-09-27 06:41:51.787,BLOCK,NULL,06090946J
2019-01-13 01:16:41.507,BLOCK,NULL,06071748B
2019-01-22 01:22:42.833,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2018-03-04 01:30:34.607,MAIN ENGINE DAMAGE,TBA,06338880E
2019-06-14 01:14:53.797,NECK & SHOULDER INJURY CLMT: BENJAMIN PRIDDY,TEXAS,07915498P
2019-03-26 02:08:52.663,GAS TURBINE DAMAGE,TBA,06338884Q
2019-09-03 01:17:54.943,GAS TURBINE DAMAGE,TBA,06338884Q
2017-12-28 01:19:20.813,LEG PUNCH THROUGH,TBA,06595248G
2020-06-23 01:18:22.210,BLOCK ENTRY,NULL,06595246M
2017-11-07 13:01:24.157,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2017-09-21 07:26:46.140,BLOCK,NULL,06616420F
2020-02-19 01:19:26.623,LEAKAGE AT 18INCH PIPELINE BETWEEN MCR-A AND WDDPA,OFFSHORE TURKMENISTAN,05892148P
2019-02-10 01:16:39.270,"CLMNT:JEFFREY MAULDIN, ALLEGED HEAD INJURY",GULF OF MEXICO,06026196C
2020-01-28 01:18:45.597,LEG PUNCH THROUGH,NULL,06241830E
2019-03-26 02:08:25.333,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2018-09-14 01:12:33.917,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-02-07 01:27:46.537,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2017-11-15 01:13:50.220,BLOCK,NULL,06090946J
2020-06-23 01:16:22.147,BLOCK,NULL,06090946J
2018-06-25 01:30:19.470,BLOCK ENTRY,NULL,07195260B
2018-05-20 01:18:23.427,WELL LEAKAGE,BOURI FIELD,07085708R
2017-12-28 01:18:39.860,LEG PUNCH THROUGH,NULL,06241830E
2019-01-13 01:16:37.913,KEF1-EKF1 PIPELINE DAMAGE,"RIO DEL REY, OFFSHORE CAMEROON",05992248A
2020-07-12 01:11:08.943,CLMNT:ADRAIN NEITO FATALLY INJURED IN GAS PLANTAFT,NEW MEXICO,06153926V
2018-09-26 01:24:44.120,TBA,TBA,06230340T
2020-01-09 08:27:55.947,BLOCK ENTRY,NULL,06891540K
2020-02-19 01:20:46.623,DAMAGE TO 6 PIPELINE WHICH POSSIBLY OCCURED POSTTR,FILANOVSKY FIELD,07473396P
2018-07-01 01:26:49.387,WILLIAM APPLEGATE ALLEGEDLY WAS SHOT DURING SPONSO,US,06407316T
2017-12-22 01:20:30.853,BLOCK ENTRY,NULL,06944548A
2017-09-27 06:41:51.987,BLOCK,NULL,06090952Q
2017-12-14 01:18:44.470,"CLMNT:JEFFREY MAULDIN, ALLEGED HEAD INJURY",GULF OF MEXICO,06026196C
2019-03-26 02:08:43.600,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2019-01-13 01:16:33.943,KEF1-EKF1 PIPELINE DAMAGE,"RIO DEL REY, OFFSHORE CAMEROON",05925738N
2018-04-22 01:16:55.677,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,06838442M
2018-04-13 01:23:39.150,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05852152N
2017-12-03 01:19:15.847,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,06838442M
2018-09-13 01:12:30.117,BLOCK ENTRY,NULL,06891546R
2019-03-26 02:08:35.787,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2019-08-01 01:09:54.553,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2019-06-06 01:11:18.427,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05843612E
2019-12-25 01:10:20.267,GAS TURBINE DAMAGE,TBA,06338884Q
2018-08-21 01:16:37.057,GAS TURBINE DAMAGE,TBA,06302246J
2018-09-28 01:14:50.103,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2019-02-01 03:41:04.863,CLMNT:ADRAIN NEITO FATALLY INJURED IN GAS PLANTAFT,NEW MEXICO,06153926V
2018-05-23 01:20:42.767,CLMNT:ADRAIN NEITO FATALLY INJURED IN GAS PLANTAFT,NEW MEXICO,06153926V
2017-09-21 07:27:27.953,WELL LEAKAGE,BOURI FIELD,07085708R
2019-09-25 01:20:37.483,CARGO CONSUMER GOODS GROUNDING GA DECLARED,NULL,05965644Q
2018-04-13 01:23:37.477,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05843612E
2019-01-13 01:16:49.897,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-01-15 01:07:19.040,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2017-09-21 18:38:00.517,WELL LEAKAGE,BOURI FIELD,06698900A
2019-11-26 01:07:02.437,DAMAGE TO LVSR - PD,TBA,06302248E
2020-06-14 10:09:11.777,DAMAGE TO GENERATOR NO 3 TANKER NEGRA MATEA,"COAST OF THE CARDON REFINERY, CARDON, PUNTO FIJO.",06149748H
2017-11-04 01:08:42.920,SS 238A WELL THIRD PARTY VESSEL HIT THE INSURED PL,"OFFSHORE U.S. GULF OF MEXICO,",05854704F
2019-09-03 01:17:33.397,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2017-12-21 01:12:57.200,GAS TURBINE DAMAGE,TBA,06338884Q
2018-07-01 01:25:47.730,BLOCK,NULL,06071748B
2018-08-21 01:16:40.463,GAS TURBINE DAMAGE,TBA,06338884Q
2018-08-01 01:18:06.303,CLMNT:ADRAIN NEITO FATALLY INJURED IN GAS PLANTAFT,NEW MEXICO,06153926V
2020-04-24 01:38:42.740,ANCHOR CHAIN BREAK/CRACKED,CHINA,06282234J
2019-09-03 01:17:45.630,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-06-23 01:16:24.570,LEG PUNCH THROUGH,NULL,06241830E
2019-10-02 01:27:15.117,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2017-12-22 01:18:33.150,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2017-09-27 06:42:00.050,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2018-09-14 01:12:29.510,BLOCK,NULL,06071748B
2018-08-21 01:16:40.057,MAIN ENGINE DAMAGE,TBA,06338880E
2020-03-27 01:08:49.437,BLOCK,NULL,06090946J
2017-11-07 13:01:26.313,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2018-12-12 01:10:59.657,LEG PUNCH THROUGH,TBA,06595248G
2019-01-30 01:32:12.953,GAS TURBINE DAMAGE,TBA,06338884Q
2018-01-03 01:12:35.657,LEG PUNCH THROUGH,TBA,06595248G
2018-03-27 04:23:23.347,LEG PUNCH THROUGH,NULL,06241830E
2020-02-14 01:23:04.730,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,06838442M
2018-10-28 01:10:17.547,GAS TURBINE DAMAGE,TBA,06338884Q
2018-09-14 01:12:33.277,TBA,TBA,06230340T
2017-09-22 19:22:58.143,TBA,TBA,06230340T
2018-08-02 01:24:30.513,BLOCK ENTRY,NULL,06944548A
2018-12-23 01:36:34.767,KEF1-EKF1 PIPELINE DAMAGE,"RIO DEL REY, OFFSHORE CAMEROON",05925738N
2018-06-25 01:28:19.577,BLOCK ENTRY,NULL,06891546R
2018-02-25 01:13:37.270,CARGO CONSUMER GOODS GROUNDING GA DECLARED,NULL,05965644Q
2020-03-27 01:09:37.373,LEG PUNCH THROUGH,TBA,06595248G
2017-09-27 06:41:58.940,TBA,TBA,06230340T
2019-06-26 01:35:23.333,BLOCK ENTRY,NULL,06595246M
2018-05-16 05:47:31.867,BLOCK,NULL,06090952Q
2018-08-23 01:15:08.637,KEF1-EKF1 PIPELINE DAMAGE,"RIO DEL REY, OFFSHORE CAMEROON",05925738N
2018-09-26 01:25:39.607,LEG PUNCH THROUGH,TBA,06595248G
2017-12-17 01:14:20.907,BLOCKED LEG PILEH,TBA,06873088C
2018-03-27 04:24:14.207,LEG PUNCH THROUGH,TBA,06595248G
2018-03-27 04:23:40.173,GAS TURBINE DAMAGE,TBA,06338884Q
2019-01-11 01:16:38.613,CARGO CONSUMER GOODS GROUNDING GA DECLARED,NULL,05965644Q
2018-01-07 02:36:59.277,"CLMNT:JEFFREY MAULDIN, ALLEGED HEAD INJURY",GULF OF MEXICO,06026196C
2020-02-10 02:45:25.827,COATING DAMAGE/DETERIORATION,CIDADE DE PARATY,05852152N
2017-11-07 13:01:32.047,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-07-24 01:16:19.433,LEG PUNCH THROUGH,TBA,06595248G
2017-12-15 01:16:04.950,SS 238A WELL THIRD PARTY VESSEL HIT THE INSURED PL,"OFFSHORE U.S. GULF OF MEXICO,",05854704F
2020-05-03 07:49:39.317,VARIOUS LOSSES.,VARIOUS,06141664B
2019-07-19 01:15:51.597,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2018-12-12 01:11:04.857,BLOCK,NULL,06616420F
2020-03-10 01:07:44.493,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-10-21 01:31:01.423,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2018-06-26 01:21:16.077,BLOCK ENTRY,NULL,06891546R
2020-05-05 01:07:26.490,BLOCK ENTRY,NULL,06944548A
2020-01-14 01:05:27.787,CLMNT:ADRAIN NEITO FATALLY INJURED IN GAS PLANTAFT,NEW MEXICO,06153926V
2018-10-28 01:09:59.797,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2018-09-14 01:12:37.087,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2020-04-24 01:39:15.647,ANCHOR CHAIN BREAK/CRACKED,CHINA,06619932R
2017-09-27 06:41:50.707,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2018-04-24 01:11:58.697,LEAKAGE AT 18INCH PIPELINE BETWEEN MCR-A AND WDDPA,OFFSHORE TURKMENISTAN,05892138T
2018-04-18 05:56:14.687,CIDADE DE SAO MATEUS - GAS LEAK.,"CAMARUPIN FIELD, OFFSHORE BRAZIL",06050508F
2017-12-21 01:12:26.323,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2018-12-06 01:20:09.013,SS 238A WELL THIRD PARTY VESSEL HIT THE INSURED PL,"OFFSHORE U.S. GULF OF MEXICO,",05854704F
2017-11-07 13:01:34.470,GAS TURBINE DAMAGE,TBA,06338884Q
2019-05-01 01:20:46.267,LEG PUNCH THROUGH,TBA,06595248G
2019-08-29 01:18:26.377,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2020-03-06 01:10:21.167,MOORING LINES SEVERED DURING WILD WEATHER CAUSEDBY,"OFFSHORE DAMPIER, AUSTRALIA ( INDIAN OCEAN )",08143560F
2018-07-01 01:26:10.293,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2019-01-10 01:24:43.860,CLAIMANT:SHANNA RIDDLE MOTOR VEHICLE ACCIDENT,TEXAS,07746838F
2019-09-26 01:25:30.443,LEG PUNCH THROUGH,NULL,06241830E
2019-01-13 01:16:53.460,DAMAGE TO LVSR - PD,TBA,06302248E
2020-05-28 01:09:06.487,DAMAGE TO HOSE,TBA,06059746P
2018-08-21 01:16:16.447,DAMAGE TO HOSE,TBA,06059746P
2017-12-22 01:18:34.040,BLOCK,NULL,06071748B
2019-09-04 01:19:44.747,NECK & SHOULDER INJURY CLMT: BENJAMIN PRIDDY,TEXAS,07915498P
2017-12-14 01:18:47.017,"CLMNT:JEFFREY MAULDIN, ALLEGED HEAD INJURY",GULF OF MEXICO,06026196C
2018-01-26 01:16:33.707,BLOCK,NULL,06090946J
2019-06-12 01:09:34.927,BLOCK ENTRY,NULL,06944548A
2018-10-12 01:19:59.347,"PRODUCTS LIABILITY LAWSUIT FILED, CLAIMING DAMAGET",TEXAS,07335998F
2018-10-30 08:14:13.723,"LEAKAGE IN THE GARN WEST RISER                    ",DRAUGEN FIELD,07311462M
2017-12-06 01:15:49.797,BLOCK ENTRY,NULL,06944548A
2019-03-26 02:08:34.473,LEG PUNCH THROUGH,NULL,06241830E
2017-12-22 01:18:37.930,TBA,TBA,06230340T
2018-12-23 01:36:52.753,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2019-04-02 01:37:22.107,BLOCK,NULL,06616420F
2020-03-10 01:07:29.417,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2020-01-15 01:07:33.790,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-06-26 01:20:01.157,LEG PUNCH THROUGH,TBA,06595248G
2018-08-31 01:20:09.917,DAMAGE TO LVSR - PD,TBA,06302248E
2017-12-22 01:18:42.227,GAS TURBINE DAMAGE,TBA,06302246J
2019-01-22 01:22:50.990,GAS TURBINE DAMAGE,TBA,06338884Q
2018-09-28 01:15:07.557,GAS TURBINE DAMAGE,TBA,06338884Q
2018-06-26 01:18:48.763,GAS TURBINE DAMAGE,TBA,06338884Q
