RecievedDate,LossDescription,LossLocation,LloydsClaimReference
2018-10-02 01:21:26.900,HOUSE EXPLOSION - GAS LEAK,"COLORADO, USA",06945524M
2019-12-05 01:19:02.020,INCIDENT DURING INSTALLATION OF SHEATHED MOORING W,"NJORD FIELD, CAR PROJECT",08198714W
2019-10-29 01:21:30.410,FIRE IN A RENTAL WAREHOUSE.,"ASTRAKHAN, RUSSIA",08171378C
2017-10-18 01:18:48.977,OIL LEAK FROM GREASING TUBE WITH TEMPORARY REPAIRS,"LUKOIL WEST QURNA-2, IRAQ",06910878A
2018-07-11 01:48:57.180,BLOCK,NULL,06869548F
2017-11-28 01:16:39.943,WELL CONTROL INCIDENT DURING FRAC STAGE 4,"KINGFISHER, OK",06675686E
2018-10-09 01:13:35.607,PIPELINE DAMAGE,TBA,06758310F
2020-03-27 01:09:30.420,DAMAGE TO PIPELINE,OFFSHORE MALAYSIA,06517310R
2017-12-28 01:20:38.423,UNDERGROUND BLOWOUT,TBA,06955348T
2017-10-12 01:14:02.677,CROSS FLOW ISSUE AT ELGIN WHP B,"ELGIN FRANKLIN FIELD, EAST OF ABERDEEN",06820834F
2019-03-27 06:28:00.650,TBA,TBA,07373352F
2017-11-09 01:10:46.443,EXPORT PIPELINE - BATTERY BANK -1 DAMAGED DUE TOOV,"WEST QURNA, IRAQ",06586568G
2018-01-26 01:20:50.647,UNDERGROUND BLOWOUT,TBA,07221740K
2019-01-27 01:55:09.027,DAMAGE TO SUBSEA ELECTIC,OFFSHORE MALAYSIA,06630090A
2020-02-06 01:28:12.983,DAMAGE TO PIPELINE A,RUSSIA,08307482G
2018-08-07 01:14:35.787,THE TURRET BEARING ON THE FPSO KWAME NKRUMAH HASBE,GHANA NATIONAL GAS COMPANY,06776474H
2018-03-09 01:29:21.597,"WELL CONTROL COST PHE2-A1,PHE12-A2 AND P13-A",PANGKALAN SUSU,06934112M
2019-09-29 01:35:19.687,MISC COMMENCED UNDERWATER INSPECTION IN LIEU OFDRY,BLOCK PM-3 CAA OFFSHORE MALAYSIA,06886424K
2018-10-21 01:33:25.127,WELL HEAD SUBSIDENCE - LIMBAYONG -4 WELL,OFFSHORE MALAYSIA,06684804G
2018-10-19 01:19:26.213,CRANE DAMAGE DURING TRANSIT,CAMEROON RIO DEL REY,06842690T
2019-04-02 01:37:47.840,FAILURE OF THE BOTTOM ISOLATION SEAL ON THE GASINJ,NGOMA FPSO - OFFSHORE ANGOLA,06830958T
2019-03-31 00:19:41.070,"SUBSEA PIPELINE - SEBUKU BLOCK, MAKASSAR STRAIT. S","SEBUKU BLOCK, MAKASSAR STRAIT, SOUTHEAST",07224068W
2018-09-09 01:21:40.117,UNDERGROUND BLOWOUT,TBA,07221740K
2019-05-30 01:11:49.663,FLOODING DAMAGE,"ARGENTINA, EL TORDILLO",06894262Q
2018-05-20 01:18:19.413,INSUREDS P&AED WELLS BEGAN BLOWING SALTWATER AND O,"OSAGE COUNTY, OK",07064068H
2019-09-19 01:17:22.410,COW EVENT AT IRON EAGLE B U13H WELL.,"REEVES COUNTY, TEXAS",08114532G
2020-05-03 07:52:55.413,CONTROL OF WELL INCIDENT (MCCABE 1),TBA,08321250N
2020-04-17 01:41:43.157,CONTROL OF WELL INCIDENT (MCCABE 1),TBA,08321250N
2019-01-06 01:17:21.717,"SHUT DOWN IN PLATFROM OPERATING SYSTEMS, LOSTPRESS",OFFSHORE BRAZIL,06993396H
2020-04-02 02:19:18.303,FIRE DAMAGE TO RIG 651ST ADVICE OF FIRE DAMAGE TOR,EGYPT,06857092E
2018-12-23 01:40:13.893,BLOCK,NULL,07579704H
2018-12-23 01:38:35.407,UNDERGROUND BLOWOUT,TBA,06955348T
2018-11-02 01:13:29.330,INFLUX WAS DETECTED DURING DRILLING AND THE WEEL W,TBA,06886572N
2019-09-26 01:27:23.583,BLOCK ENTRY,NULL,06869548F
2018-06-22 01:13:28.147,EXPLOSION AT HARRISON WATER TREATMENT FACILITY,COLORADO,06850900W
2018-05-27 01:16:31.643,UNDERGROUND BLOWOUT,TBA,06955348T
2018-10-03 01:20:49.863,GREASE SPILL,GERMANY,07610770W
2018-12-21 01:22:40.673,LEAKAGE IN THE GARN WEST RISER,"DRAUGEN FIELD, NORWEGIAN SEA",07085800K
